Key,KR,EN,JA,ZH_CN,ZH_TW,RU
external.minimapHelp,가운데 드래그: 이동 · 휠: 확대 · 클릭: 방 선택 · 더블클릭: 방 편집,Middle drag: pan · Wheel: zoom · Click: select room · Double-click: edit room,中ドラッグ: 移動 · ホイール: ズーム · クリック: 部屋選択 · ダブルクリック: 部屋を編集,中键拖动：平移 · 滚轮：缩放 · 点击：选择房间 · 双击：编辑房间,中鍵拖曳：平移 · 滾輪：縮放 · 點擊：選取房間 · 按兩下：編輯房間,Средняя кнопка: панорама · Колесо: масштаб · Щелчок: выбор комнаты · Двойной щелчок: редактировать
external.overview,전체 지도 배율,Overview scale,マップ全体の倍率,全图倍率,全圖倍率,Масштаб обзора
external.editView,편집 화면,Edit view,編集表示,编辑视图,編輯檢視,Вид редактора
external.visibleArea,표시 영역,Visible area,表示範囲,可见区域,可見範圍,Видимая область
external.strokeTooLong,"한 번의 작업은 경로 16,384칸 또는 브러시 적용 65,536칸을 넘을 수 없습니다. 변경을 취소했습니다.","A gesture cannot exceed 16,384 path cells or 65,536 brush-expanded cells. The change was cancelled.","1回の操作は経路16,384マスまたはブラシ展開後65,536マスまでです。変更を取り消しました。","单次操作不能超过 16,384 格路径或 65,536 格笔刷覆盖范围。更改已取消。","單次操作不能超過 16,384 格路徑或 65,536 格筆刷覆蓋範圍。變更已取消。",Один жест ограничен 16 384 клетками пути или 65 536 клетками кисти. Изменения отменены.
external.writerBusy,이전 변경 사항을 적용하는 중입니다. 잠시 후 다시 그려 주세요.,The previous change is still being applied. Please draw again in a moment.,前の変更を適用中です。少し待ってから描画してください。,正在应用上一次更改，请稍后再绘制。,正在套用上一次變更，請稍後再繪製。,Предыдущее изменение ещё применяется. Подождите немного.
external.brushWheelHelp,Ctrl + 휠: 브러시 크기 조절 (1–16),Ctrl + wheel: brush size (1–16),Ctrl+ホイール: ブラシサイズ（1–16）,Ctrl+滚轮：笔刷大小（1–16）,Ctrl+滾輪：筆刷大小（1–16）,Ctrl+колесо: размер кисти (1–16)
external.sourceModified,맵 수정됨,Map modified,マップ変更あり,地图已修改,地圖已修改,Карта изменена
external.sourceSaved,맵 저장됨,Map saved,マップ保存済み,地图已保存,地圖已儲存,Карта сохранена
external.sourceSaveHint,원본 맵의 저장 상태입니다. 방 JSON 자동 내보내기와 별개이며 Ctrl+S로 저장합니다.,Authoring map save status. Separate from automatic room JSON export. Save with Ctrl+S.,編集用マップの保存状態です。部屋JSONの自動書き出しとは別です。Ctrl+Sで保存します。,这是编辑用地图的保存状态，与房间 JSON 自动导出分开。按 Ctrl+S 保存。,這是編輯用地圖的儲存狀態，與房間 JSON 自動匯出分開。按 Ctrl+S 儲存。,Состояние сохранения исходной карты. Независимо от автоэкспорта комнат в JSON. Сохранение: Ctrl+S.
external.syncEditing,JSON 편집 중,JSON editing,JSON編集中,正在编辑 JSON,正在編輯 JSON,Редактирование JSON
external.syncEditingHint,편집이 끝나고 1초 동안 변경이 없으면 방 JSON을 자동 저장합니다.,Room JSON is exported after editing stops for one second.,編集が終わり、1秒間変更がなければ部屋JSONを自動保存します。,编辑停止 1 秒后自动导出房间 JSON。,編輯停止 1 秒後自動匯出房間 JSON。,JSON комнат экспортируется через секунду после окончания редактирования.
external.syncExportQueued,JSON 저장 대기,JSON queued,JSON保存待ち,JSON 等待保存,JSON 等待儲存,JSON в очереди
external.syncExportQueuedHint,최근 편집을 묶어서 방 JSON을 저장할 예정입니다.,Waiting for the idle interval before exporting the latest room JSON.,待機時間の経過後、最新の部屋JSONを書き出します。,等待空闲间隔后导出最新房间 JSON。,等待閒置間隔後匯出最新房間 JSON。,Ожидание паузы перед экспортом актуальных комнат в JSON.
external.syncExporting,JSON 저장 중,JSON exporting,JSON保存中,正在保存 JSON,正在儲存 JSON,Экспорт JSON
external.syncExportingHint,방 JSON을 백그라운드에서 저장하고 있습니다.,Room JSON is being published in the background.,部屋JSONをバックグラウンドで保存中です。,正在后台保存房间 JSON。,正在背景儲存房間 JSON。,JSON комнат сохраняется в фоновом режиме.
external.syncExportSaved,JSON 저장됨,JSON exported,JSON保存済み,JSON 已导出,JSON 已匯出,JSON экспортирован
external.syncExportSavedHint,최신 방 JSON이 저장되었습니다. 원본 맵 저장은 별도입니다.,The latest room JSON was exported. The authoring map is saved separately.,最新の部屋JSONを保存しました。編集用マップは別途保存します。,最新房间 JSON 已导出。编辑用地图需要单独保存。,最新房間 JSON 已匯出。編輯用地圖需要另外儲存。,Актуальные комнаты экспортированы в JSON. Исходная карта сохраняется отдельно.
external.syncExportError,JSON 저장 오류,JSON export error,JSON保存エラー,JSON 导出错误,JSON 匯出錯誤,Ошибка экспорта JSON
external.syncExportErrorHint,방 JSON을 저장하지 못했습니다. 원인을 해결하면 자동으로 다시 시도합니다.,Room JSON export failed. It will retry automatically after the cause is resolved.,部屋JSONの保存に失敗しました。原因が解消されると自動で再試行します。,房间 JSON 保存失败。问题解决后将自动重试。,房間 JSON 儲存失敗。問題解決後將自動重試。,Не удалось сохранить JSON комнат. После устранения причины попытка повторится автоматически.
external.syncServerOffline,서버 연결 끊김,Server disconnected,サーバー未接続,服务器连接已断开,伺服器連線已中斷,Сервер отключён
external.syncServerOfflineHint,로컬 Metroidvania Studio 서버에 연결할 수 없습니다. 저장 및 반영 상태를 확인할 수 없습니다.,Cannot reach the local Metroidvania Studio server. Export and application status cannot be confirmed.,ローカルサーバーに接続できません。保存・反映状態を確認できません。,无法连接本地服务器，无法确认保存和应用状态。,無法連線至本機伺服器，無法確認儲存與套用狀態。,Нет связи с локальным сервером. Нельзя подтвердить сохранение и применение изменений.
external.studioConnected,로컬 스튜디오 연결됨,Local studio connected,ローカル接続済み,已连接本地工作室,已連線至本機工作室,Локальный сервер подключён
external.import,맵 JSON 가져오기,Import map JSON,マップJSONを取り込む,导入地图 JSON,匯入地圖 JSON,Импорт карты JSON
external.importTooLarge,가져올 JSON 전체 크기는 32MiB 이하여야 합니다.,The combined JSON size must not exceed 32 MiB.,JSONの合計サイズは32 MiB以下にしてください。,JSON 总大小不能超过 32 MiB。,JSON 總大小不能超過 32 MiB。,Общий размер JSON не должен превышать 32 МиБ.
external.cameraHelp,현재 방을 설정된 기준 해상도와 픽셀 배율로 미리 봅니다.,Preview the current room at the configured reference resolution and pixel scale.,現在の部屋を設定した解像度とピクセル倍率で表示します。,按设定分辨率和像素倍率预览当前房间。,依設定的解析度與像素倍率預覽目前房間。,Предпросмотр текущей комнаты с заданным разрешением и масштабом пикселей.
enum.MetroidvaniaStudioTool.Brush,브러시,Brush,ブラシ,笔刷,筆刷,Кисть
enum.MetroidvaniaStudioTool.Bucket,채우기,Bucket,塗りつぶし,填充,填滿,Заливка
enum.MetroidvaniaStudioTool.Circle,원,Circle,円,圆,圓形,Круг
enum.MetroidvaniaStudioTool.Ellipse,타원,Ellipse,楕円,椭圆,橢圓形,Эллипс
enum.MetroidvaniaStudioTool.Line,직선,Line,直線,直线,直線,Линия
enum.MetroidvaniaStudioTool.Placement,오브젝트 배치,Place objects,オブジェクト配置,放置对象,放置物件,Размещение объектов
enum.MetroidvaniaStudioTool.Rectangle,사각형,Rectangle,長方形,矩形,矩形,Прямоугольник
enum.MetroidvaniaStudioTool.Rooms,방,Rooms,部屋の編集,房间编辑,房間編輯,Правка комнат
enum.MetroidvaniaStudioTool.Selection,영역 선택,Select area,領域選択,区域选择,區域選取,Выделение области
enum.MapLayer.All,모든 레이어,All layers,全レイヤー,所有图层,所有圖層,Все слои
enum.MapLayer.BackgroundDecals,배경 장식,Background decals,背景装飾,背景装饰,背景裝飾,Задние декорации
enum.MapLayer.BackgroundTiles,배경 타일,Background tiles,背景タイル,背景图块,背景圖塊,Задние тайлы
enum.MapLayer.Entities,오브젝트,Entities,オブジェクト,对象,物件,Объекты
enum.MapLayer.ForegroundDecals,전경 장식,Foreground decals,前景装飾,前景装饰,前景裝飾,Передние декорации
enum.MapLayer.ForegroundTiles,전경 타일,Foreground tiles,前景タイル,前景图块,前景圖塊,Передние тайлы
enum.MapLayer.Triggers,트리거,Triggers,トリガー,触发器,觸發器,Триггеры
enum.TileShape.BottomLeft,경사 / 왼쪽 아래,Slope / bottom left,斜面 / 左下,斜坡 / 左下,斜坡 / 左下,Склон / слева снизу
enum.TileShape.BottomRight,경사 \ 오른쪽 아래,Slope \ bottom right,斜面 \ 右下,斜坡 \ 右下,斜坡 \ 右下,Склон \ справа снизу
enum.TileShape.Solid,사각형,Solid,正方形,实心,實心,Сплошной
enum.TileShape.TopLeft,경사 \ 왼쪽 위,Slope \ top left,斜面 \ 左上,斜坡 \ 左上,斜坡 \ 左上,Склон \ слева сверху
enum.TileShape.TopRight,경사 / 오른쪽 위,Slope / top right,斜面 / 右上,斜坡 / 右上,斜坡 / 右上,Склон / справа сверху
stageThemes.blue,파랑 테마,Blue theme,青のテーマ,蓝色主题,藍色主題,Синяя тема
stageThemes.darkGray,짙은 회색 테마,Dark gray theme,濃いグレーのテーマ,深灰主题,深灰主題,Тёмно-серая тема
stageThemes.green,초록 테마,Green theme,緑のテーマ,绿色主题,綠色主題,Зелёная тема
stageThemes.orange,주황 테마,Orange theme,オレンジのテーマ,橙色主题,橙色主題,Оранжевая тема
stageThemes.yellow,노랑 테마,Yellow theme,黄色のテーマ,黄色主题,黃色主題,Жёлтая тема
external.cameraSettings,카메라 설정,Camera settings,カメラ設定,相机设置,攝影機設定,Настройки камеры
external.cameraSettingsHelp,맵마다 저장됩니다. PPU는 월드 단위당 픽셀 수이며 타일 원본은 16×16입니다. 해상도는 게임 시야를 정합니다.,Saved per map. PPU sets pixels per world unit; source tiles remain 16×16. Resolution defines the game view.,設定はマップごとに保存されます。PPUはワールド単位あたりのピクセル数です。元のタイルは16×16のままです。解像度でゲームの表示範囲を設定します。,设置随地图保存。PPU 表示每世界单位的像素数，源图块保持 16×16。分辨率决定游戏视野。,設定隨地圖儲存。PPU 表示每世界單位的像素數，原始圖塊保持 16×16。解析度決定遊戲視野。,Настройки сохраняются в карте. PPU — число пикселей на единицу мира; исходные тайлы остаются 16×16. Разрешение задаёт игровой обзор.
external.resolutionWidth,기준 해상도 가로,Reference width,基準解像度の幅,基准分辨率宽度,基準解析度寬度,Ширина разрешения
external.resolutionHeight,기준 해상도 세로,Reference height,基準解像度の高さ,基准分辨率高度,基準解析度高度,Высота разрешения
external.cameraDefaults,기본값 16 PPU · 320×180,Defaults 16 PPU · 320×180,初期値 16 PPU · 320×180,默认 16 PPU · 320×180,預設 16 PPU · 320×180,По умолчанию: 16 PPU · 320×180
external.cameraSettingsInvalid,PPU는 1~8192 및 해상도는 1~16384 사이 정수로 입력하세요.,Use integer PPU from 1 to 8192 and resolution from 1 to 16384.,PPUは1～8192、解像度は1～16384の整数を入力してください。,PPU 须为 1–8192 的整数，分辨率须为 1–16384 的整数。,PPU 須為 1–8192 的整數，解析度須為 1–16384 的整數。,PPU: целое число от 1 до 8192; разрешение: от 1 до 16384.
external.language,언어,Language,言語,语言,語言,Язык
external.helpMenu,도움말,Help,ヘルプ,帮助,說明,Справка
external.settings,설정,Settings,設定,设置,設定,Настройки
external.about,정보,About,このツールについて,关于,關於,О программе
external.aboutDescription,연결된 방을 만들고 타일맵과 미니맵을 편집하는 웹 기반 2D 월드 제작 도구입니다.,"A web-based 2D world editor for connected rooms, tilemaps and minimaps.",つながる部屋、タイルマップ、ミニマップを作るWebベースの2Dワールド編集ツールです。,用于创建相连房间、图块地图和小地图的网页版 2D 世界编辑工具。,用於建立相連房間、圖塊地圖及小地圖的網頁版 2D 世界編輯工具。,"Веб-редактор двумерных миров со связанными комнатами, тайловыми картами и мини-картами."
external.buildVersion,빌드 버전,Build version,ビルドバージョン,构建版本,建置版本,Версия сборки
external.revision,리비전,Revision,リビジョン,修订,修訂,Ревизия
external.buildDate,빌드 시각,Built at,ビルド日時,构建时间,建置時間,Время сборки
external.unavailable,확인할 수 없음,Unavailable,取得できません,不可用,無法取得,Недоступно
external.importRooms,방 JSON 가져오기…,Import room JSON files…,部屋JSONを取り込む…,导入房间 JSON…,匯入房間 JSON…,Импорт JSON комнат…
external.exportSelected,선택한 방 JSON 저장…,Save selected rooms as JSON…,選択した部屋のJSONを保存…,保存所选房间 JSON…,儲存所選房間 JSON…,Сохранить выбранные комнаты в JSON…
external.exportAll,모든 방 JSON 저장…,Save all rooms as JSON…,すべての部屋のJSONを保存…,保存所有房间 JSON…,儲存所有房間 JSON…,Сохранить все комнаты в JSON…
external.exportChanged,변경된 방 JSON 저장…,Save changed rooms as JSON…,変更された部屋のJSONを保存…,保存已更改房间 JSON…,儲存已變更房間 JSON…,Сохранить изменённые комнаты в JSON…
external.confirmRoomReplace,같은 ID의 방이 이미 있습니다. 가져오는 JSON으로 해당 방을 교체할까요? 실행 취소할 수 있습니다.,Some room IDs already exist. Replace those rooms with the imported JSON? This can be undone.,同じIDの部屋があります。取り込むJSONで置き換えますか？元に戻せます。,部分房间 ID 已存在。用导入的 JSON 替换这些房间？此操作可以撤销。,部分房間 ID 已存在。以匯入的 JSON 取代這些房間？此操作可以復原。,Некоторые ID комнат уже существуют. Заменить эти комнаты импортированными данными? Действие можно отменить.
external.tileSelection,타일 영역 선택,Select tile area,タイル領域選択,图块区域选择,圖塊區域選取,Выделение тайлов
external.objectSelection,오브젝트 선택,Select objects,オブジェクト選択,选择对象,選取物件,Выделение объектов
external.selectionHelp,드래그: 타일 영역 선택 · 선택 안쪽 드래그: 이동 · Shift+드래그: 새 영역 · Ctrl+C/V: 복사/붙여넣기 · Del: 선택 삭제,Drag: select tile area · Drag inside: move selection · Shift+drag: new selection · Ctrl+C/V: copy/paste · Del: delete selection,ドラッグ: タイル領域選択 · 内側ドラッグ: 移動 · Shift+ドラッグ: 新しい選択 · Ctrl+C/V: コピー/貼り付け · Del: 選択削除,拖动：选择图块区域 · 区域内拖动：移动 · Shift+拖动：重新选择 · Ctrl+C/V：复制/粘贴 · Del：删除所选内容,拖曳：選取圖塊區域 · 區域內拖曳：移動 · Shift+拖曳：重新選取 · Ctrl+C/V：複製/貼上 · Del：刪除所選內容,Перетаскивание: выделить тайлы · Внутри: переместить · Shift+перетаскивание: новое выделение · Ctrl+C/V: копировать/вставить · Del: удалить
external.placementHelp,팔레트에서 오브젝트 선택 후 클릭해 배치 · 영역 오브젝트는 드래그로 크기 지정 · 우클릭: 지우기,"Choose an object in the palette, then click to place · Drag to size area objects · Right click: erase",パレットで選んでクリック: 配置 · 領域オブジェクトはドラッグでサイズ指定 · 右クリック: 消去,从调色板选择对象后点击放置 · 拖动设置区域对象大小 · 右键擦除,從調色盤選取物件後點擊放置 · 拖曳設定區域物件大小 · 右鍵擦除,Выберите объект в палитре и щёлкните для размещения · Перетаскивание: размер области · Правая кнопка: удалить
external.selectionSummary,선택 영역,Selected area,選択領域,所选区域,所選區域,Выделенная область
external.roomActions,방 편집,Room actions,部屋の編集,房间操作,房間操作,Действия с комнатой
external.selectionActions,선택 내용 편집,Selection actions,選択内容の編集,所选内容操作,所選內容操作,Действия с выделением
external.exportHelp,선택한 폴더에 방 이름별 UTF-8 JSON을 저장합니다. 변경된 방 저장은 기존 파일과 내용이 다른 방만 기록합니다.,Save UTF-8 JSON files by room name. Changed-room saving writes only rooms that differ from files in this folder.,部屋名ごとにUTF-8 JSONを保存します。変更された部屋の保存では、このフォルダーの既存ファイルと内容が異なる部屋だけを書き込みます。,按房间名称保存 UTF-8 JSON。保存已更改房间仅写入与此文件夹中现有文件内容不同的房间。,依房間名稱儲存 UTF-8 JSON。儲存已變更房間僅寫入與此資料夾中現有檔案內容不同的房間。,Комнаты сохраняются в UTF-8 JSON по именам. Сохранение изменённых комнат записывает только отличия от файлов в этой папке.
external.exportUnchanged,변경된 방이 없습니다. 기존 JSON을 유지했습니다.,No rooms changed. Existing JSON files were kept.,変更された部屋はありません。既存のJSONを保持しました。,没有房间更改，已保留现有 JSON。,沒有房間變更，已保留現有 JSON。,Комнаты не изменились. Существующие JSON сохранены.
external.exportedRooms,방 JSON {0}개를 저장했습니다.,Saved {0} room JSON files.,部屋JSONを{0}個保存しました。,已保存 {0} 个房间 JSON。,已儲存 {0} 個房間 JSON。,Сохранено файлов JSON комнат: {0}.
external.cleared,{0}개 삭제 · {1}개 보호됨,Removed {0}; protected {1}.,{0}個削除 · {1}個保護,已删除 {0} 个；已保护 {1} 个。,已刪除 {0} 個；已保護 {1} 個。,Удалено: {0}; защищено: {1}.
scripts.title,Lua 스크립트,Lua Scripts,Lua スクリプト,Lua 脚本,Lua 指令碼,Скрипты Lua
scripts.source,Lua 코드,Lua source,Lua コード,Lua 代码,Lua 程式碼,Код Lua
scripts.hint,결과는 한 번에 적용되며 실행 취소할 수 있습니다. 실행 중 맵이 바뀌면 결과를 적용하지 않습니다.,"Results apply as one undoable edit. If the map changes during execution, the result is not applied.",結果は一括適用され、元に戻せます。実行中にマップが変わると適用されません。,结果将作为一次可撤销的编辑应用。运行期间地图改变时不会应用结果。,結果會作為一次可復原的編輯套用。執行期間地圖改變時不會套用結果。,"Результат применяется одним отменяемым действием. Если карта изменится во время выполнения, результат не будет применён."
scripts.seed,랜덤 시드,Random seed,乱数シード,随机种子,隨機種子,Случайное зерно
scripts.dryRun,적용 없이 확인,Dry run,試行のみ,仅试运行,僅試執行,Без применения
scripts.ready,실행할 스크립트를 입력하거나 불러오세요.,Enter or open a script to run.,スクリプトを入力または開いてください。,输入或打开要运行的脚本。,輸入或開啟要執行的指令碼。,Введите или откройте скрипт.
scripts.run,실행,Run,実行,运行,執行,Запустить
scripts.stop,실행 중지,Stop,停止,停止,停止,Остановить
scripts.load,스크립트 열기,Open script,スクリプトを開く,打开脚本,開啟指令碼,Открыть скрипт
scripts.save,스크립트 저장,Save script,スクリプトを保存,保存脚本,儲存指令碼,Сохранить скрипт
scripts.running,실행 중…,Running…,実行中…,运行中…,執行中…,Выполняется…
scripts.completed,실행 완료,Completed,完了,已完成,已完成,Выполнено
scripts.operations,작업 수,Operations,操作数,操作数,操作數,Операции
scripts.sourceLimit,스크립트는 비어 있지 않아야 하며 UTF-8 기준 64 KiB 이하여야 합니다.,Script source must contain 1–65536 UTF-8 bytes.,スクリプトは UTF-8 で 1～65536 バイトにしてください。,脚本必须包含 1–65536 个 UTF-8 字节。,指令碼必須包含 1–65536 個 UTF-8 位元組。,Скрипт должен занимать 1–65536 байт UTF-8.
scripts.seedInvalid,시드는 32비트 정수여야 합니다.,Seed must be a 32-bit integer.,シードは32ビット整数にしてください。,种子必须为32位整数。,種子必須為32位整數。,Зерно должно быть 32-битным целым числом.
scripts.connectionUnknown,연결이 끊겼습니다. 스크립트가 시작됐는지 확인 중…,Connection interrupted. Checking whether the script started…,接続が切れました。スクリプトの開始を確認中…,连接中断。正在检查脚本是否已启动…,連線中斷。正在檢查指令碼是否已啟動…,Соединение прервано. Проверка запуска скрипта…
scripts.cancelPending,취소하기 전에 스크립트 상태를 확인 중…,Checking the script status before cancellation…,キャンセル前にスクリプトの状態を確認中…,正在检查脚本状态以取消执行…,正在檢查指令碼狀態以取消執行…,Проверка состояния скрипта перед отменой…
scripts.menu,스크립트,Scripts,スクリプト,脚本,指令碼,Скрипты
scripts.library,내 스크립트,My scripts,マイスクリプト,我的脚本,我的指令碼,Мои скрипты
scripts.examples,예제,Examples,サンプル,示例,範例,Примеры
scripts.filename,파일 이름,Filename,ファイル名,文件名,檔案名稱,Имя файла
scripts.draft,작성 중인 스크립트,Current draft,編集中のスクリプト,当前草稿,目前草稿,Текущий черновик
scripts.new,새 스크립트,New script,新規スクリプト,新建脚本,新增指令碼,Новый скрипт
scripts.saveLibrary,목록에 저장,Save to library,ライブラリに保存,保存到脚本库,儲存至指令碼庫,Сохранить в библиотеку
scripts.refresh,목록 새로고침,Refresh list,一覧を更新,刷新列表,重新整理清單,Обновить список
scripts.apiGuide,Lua API 가이드,Lua API guide,Lua API ガイド,Lua API 指南,Lua API 指南,Руководство Lua API
scripts.discard,저장하지 않은 코드를 다른 스크립트로 바꿀까요?,Replace the unsaved code with another script?,未保存のコードを別のスクリプトに置き換えますか？,将未保存的代码替换为其他脚本吗？,將未儲存的程式碼替換為其他指令碼嗎？,Заменить несохранённый код другим скриптом?
scripts.opened,스크립트를 열었습니다. 실행 버튼을 누르면 적용됩니다.,Script opened. Select Run to apply it.,スクリプトを開きました。実行すると適用されます。,脚本已打开。选择运行以应用。,已開啟指令碼。選擇執行以套用。,Скрипт открыт. Нажмите «Запустить» для применения.
scripts.savedLibrary,작업 폴더의 Scripts에 저장했습니다.,Saved in the workspace Scripts folder.,作業フォルダーの Scripts に保存しました。,已保存到工作区 Scripts 文件夹。,已儲存至工作區的 Scripts 資料夾。,Сохранено в папке Scripts рабочего каталога.
docs.title,가이드 문서,Documentation,ドキュメント,文档,說明文件,Документация
docs.api,API 레퍼런스,API reference,API リファレンス,API 参考,API 參考,Справочник API
